epoch,g_total,g_adv,g_recon,d_loss,val_l1
409,4.336146,0.785157,3.550989,0.812952,0.158157
410,4.333655,0.783993,3.549662,0.806621,0.158060
411,4.338911,0.782954,3.555957,0.807896,0.158235
412,4.327389,0.778712,3.548676,0.809001,0.157851
413,4.325153,0.776817,3.548336,0.804153,0.157622
414,4.326900,0.777581,3.549319,0.810058,0.158067
415,4.326063,0.778131,3.547932,0.807662,0.158243
416,4.326495,0.776123,3.550372,0.807588,0.158148
417,4.319599,0.770529,3.549071,0.804979,0.158154
418,4.322424,0.772795,3.549630,0.808395,0.158486
419,4.316037,0.771019,3.545018,0.804342,0.157932
420,4.318929,0.769787,3.549141,0.805968,0.158505
421,4.323577,0.777904,3.545673,0.802494,0.158113
422,4.319499,0.773262,3.546237,0.795025,0.158337
423,4.313432,0.768397,3.545035,0.803304,0.158305
424,4.315467,0.766211,3.549256,0.803430,0.157836
425,4.311926,0.765616,3.546310,0.806515,0.158762
426,4.317733,0.767452,3.550281,0.797884,0.158281
427,4.309633,0.767502,3.542131,0.795104,0.158089
428,4.322920,0.776014,3.546906,0.793336,0.158296
429,4.314620,0.769861,3.544759,0.793712,0.158432
430,4.309059,0.760587,3.548472,0.803466,0.158695
431,4.315791,0.770703,3.545088,0.789824,0.158697
432,4.311115,0.763887,3.547228,0.794183,0.158226
433,4.311795,0.766025,3.545770,0.792627,0.158353
434,4.317370,0.771425,3.545945,0.787861,0.158339
435,4.311128,0.761616,3.549512,0.795640,0.158258
436,4.316449,0.768925,3.547524,0.788215,0.158359
437,4.311467,0.762825,3.548642,0.794088,0.158598
438,4.312860,0.765693,3.547166,0.784942,0.158437
439,4.308421,0.765390,3.543031,0.785999,0.158482
440,4.311202,0.761729,3.549474,0.786885,0.158086
441,4.309116,0.760077,3.549039,0.788002,0.158329
442,4.316669,0.770652,3.546017,0.777001,0.158258
443,4.311102,0.765586,3.545516,0.780731,0.158000
444,4.303788,0.756907,3.546881,0.784101,0.158420
445,4.307085,0.761752,3.545333,0.784859,0.158341
446,4.304055,0.762420,3.541635,0.781236,0.158287
447,4.301581,0.756706,3.544876,0.782421,0.158578
448,4.302207,0.761246,3.540961,0.780505,0.158521
449,4.307320,0.758603,3.548716,0.782764,0.158333
450,4.304894,0.760059,3.544836,0.782984,0.158476
451,4.306718,0.761484,3.545234,0.779538,0.158348
452,4.302482,0.762857,3.539624,0.775383,0.158385
453,4.306537,0.758107,3.548429,0.778753,0.158386
454,4.302837,0.757280,3.545557,0.779721,0.158166
455,4.301046,0.753344,3.547702,0.782064,0.158460
456,4.300882,0.758718,3.542164,0.775824,0.158313
457,4.297812,0.751436,3.546376,0.782095,0.158543
458,4.302279,0.759228,3.543051,0.775298,0.158384
459,4.296690,0.753042,3.543647,0.782000,0.158644
460,4.304132,0.757303,3.546829,0.774670,0.158481
461,4.308072,0.762423,3.545650,0.768942,0.158569
462,4.304161,0.756426,3.547735,0.775530,0.158746
463,4.302536,0.755253,3.547283,0.772335,0.158489
464,4.296905,0.753869,3.543036,0.772619,0.158387
465,4.299341,0.755624,3.543717,0.772740,0.158559
466,4.300239,0.754872,3.545367,0.772242,0.158519
467,4.308427,0.760890,3.547537,0.765770,0.158450
468,4.293528,0.752978,3.540550,0.771286,0.158109
469,4.302755,0.760721,3.542035,0.765665,0.158403
470,4.295342,0.754431,3.540911,0.773930,0.158277
471,4.304768,0.759202,3.545566,0.765775,0.158682
472,4.292094,0.751222,3.540872,0.773303,0.158429
473,4.300011,0.755898,3.544113,0.769936,0.158528
474,4.296410,0.750740,3.545670,0.774686,0.158595
475,4.298259,0.754572,3.543686,0.765597,0.158458
476,4.294147,0.750695,3.543452,0.769486,0.158119
477,4.305877,0.758919,3.546958,0.766242,0.158340
478,4.298566,0.753785,3.544780,0.765350,0.158637
479,4.301294,0.757100,3.544194,0.762430,0.158668
480,4.303392,0.758305,3.545088,0.762191,0.158503
481,4.294211,0.750971,3.543240,0.771946,0.158748
482,4.300853,0.754603,3.546251,0.765550,0.158395
483,4.296039,0.750140,3.545898,0.773291,0.158379
484,4.293699,0.746326,3.547373,0.770545,0.158584
485,4.293606,0.752040,3.541566,0.767419,0.158247
486,4.291663,0.747905,3.543759,0.767989,0.158702
487,4.296878,0.755965,3.540913,0.764539,0.158356
488,4.292683,0.747270,3.545412,0.769801,0.158601
489,4.296334,0.748302,3.548032,0.770325,0.158614
490,4.298954,0.752654,3.546300,0.764879,0.158682
491,4.298295,0.753445,3.544850,0.762265,0.158510
492,4.299083,0.751611,3.547472,0.767220,0.158788
493,4.290276,0.747233,3.543043,0.770518,0.158445
494,4.295078,0.752498,3.542580,0.765772,0.158679
495,4.289280,0.748415,3.540866,0.768151,0.158300
496,4.290293,0.746783,3.543509,0.767785,0.158672
497,4.301052,0.753989,3.547063,0.763125,0.158297
498,4.295074,0.744711,3.550364,0.770298,0.158454
499,4.283620,0.742370,3.541251,0.769527,0.158614
500,4.299894,0.753752,3.546142,0.764970,0.158614
