epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,g_localstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_localstats,val_ssim,val_score
109,9.538929,0.430745,5.521987,0.193974,0.121245,0.193986,8.928444,0.158027,0.061529,0.075068,1.507894,0.172433,0.337790,0.183299,0.180409,0.080588,0.087276,0.183111,1.245479
110,9.366897,0.406611,5.392012,0.192328,0.120771,0.193860,8.948952,0.144558,0.057707,0.071741,1.478786,0.181906,0.340262,0.183447,0.210048,0.082184,0.093756,0.164716,1.291391
111,9.450596,0.450464,5.466091,0.194237,0.119781,0.193307,8.769641,0.154668,0.062525,0.074036,1.484084,0.194080,0.338955,0.183128,0.238687,0.085564,0.101262,0.166912,1.319634
112,9.379310,0.420136,5.375762,0.192038,0.120736,0.192788,9.004135,0.141966,0.061859,0.070909,1.486142,0.186822,0.340520,0.183239,0.227380,0.082598,0.097815,0.219430,1.251811
113,9.440599,0.456424,5.414823,0.193062,0.120112,0.192952,8.921543,0.148988,0.061966,0.072487,1.438228,0.178313,0.338649,0.182381,0.207147,0.078549,0.091828,0.218522,1.229520
114,9.370827,0.418014,5.397057,0.193467,0.121370,0.194197,8.890888,0.141630,0.063827,0.071289,1.455148,0.187233,0.339909,0.182569,0.230732,0.080748,0.096776,0.185443,1.286082
115,9.426250,0.420732,5.440397,0.193612,0.121296,0.193760,8.898342,0.145784,0.065727,0.072683,1.492041,0.192663,0.340978,0.182406,0.250714,0.084588,0.100888,0.189177,1.300898
116,9.127914,0.425279,5.192976,0.187672,0.118539,0.191318,8.838843,0.130449,0.062779,0.067017,1.471573,0.182672,0.341408,0.182804,0.223700,0.080802,0.096272,0.220406,1.243428
117,9.405221,0.393980,5.326435,0.191672,0.121082,0.193365,9.357552,0.136088,0.064309,0.069634,1.471161,0.168773,0.337984,0.182708,0.191004,0.075163,0.086277,0.224697,1.201923
118,9.426593,0.433765,5.378043,0.192008,0.121504,0.194629,9.100745,0.140770,0.062569,0.071018,1.442844,0.171800,0.338834,0.182173,0.195167,0.078419,0.088193,0.215333,1.218735
119,9.410967,0.424152,5.313300,0.190843,0.121289,0.194050,9.331194,0.136818,0.060353,0.069553,1.424313,0.161625,0.334096,0.182987,0.179619,0.087671,0.081325,0.267676,1.149011
120,9.400175,0.399410,5.347730,0.191033,0.121655,0.194391,9.246494,0.136646,0.064158,0.070085,1.461904,0.184213,0.338802,0.184115,0.221601,0.085085,0.094752,0.199275,1.266091
121,9.255063,0.430979,5.269607,0.190691,0.121667,0.194912,8.941541,0.132592,0.062567,0.068468,1.432040,0.165992,0.338214,0.183787,0.174908,0.078688,0.083514,0.231811,1.185104
122,9.360051,0.393642,5.376592,0.192399,0.122487,0.195624,9.033514,0.138222,0.058539,0.070654,1.464176,0.180625,0.341824,0.184505,0.211325,0.074303,0.092009,0.134916,1.316440
123,9.182886,0.408347,5.191752,0.187922,0.119981,0.193213,9.095285,0.126274,0.060380,0.066527,1.414846,0.178089,0.335511,0.182806,0.212075,0.082638,0.092013,0.238636,1.212923
124,9.243586,0.392371,5.247694,0.189189,0.122186,0.194891,9.146997,0.125858,0.060686,0.067031,1.465819,0.169757,0.338249,0.184926,0.186777,0.079669,0.085226,0.206867,1.220770
125,9.102452,0.411128,5.180642,0.189233,0.120695,0.194079,8.838632,0.125804,0.062517,0.066312,1.401418,0.178394,0.340959,0.184388,0.195708,0.073240,0.090588,0.171173,1.269502
126,9.271576,0.407502,5.227551,0.188724,0.121178,0.194233,9.272860,0.123889,0.060167,0.066863,1.432371,0.183605,0.338939,0.183721,0.220374,0.077732,0.093911,0.198958,1.261420
127,9.216784,0.400658,5.198874,0.188610,0.122360,0.195265,9.205221,0.123883,0.060320,0.065864,1.443510,0.177790,0.336793,0.183968,0.199913,0.081935,0.090282,0.223620,1.221338
128,9.402897,0.406768,5.220502,0.188410,0.122018,0.195409,9.742373,0.123122,0.058254,0.066241,1.414972,0.176149,0.341178,0.184575,0.199333,0.077029,0.090070,0.236716,1.204838
129,9.226640,0.404644,5.256328,0.189798,0.120831,0.194188,9.006960,0.131309,0.058714,0.067800,1.427314,0.187936,0.342181,0.186334,0.230469,0.066798,0.096911,0.194324,1.272699
130,9.206543,0.391111,5.157158,0.187020,0.122276,0.195477,9.373729,0.118039,0.060566,0.064291,1.428706,0.180112,0.341437,0.185669,0.204457,0.072096,0.091435,0.182639,1.263975
131,9.212456,0.418760,5.172101,0.187258,0.121966,0.194751,9.242356,0.121341,0.059711,0.065245,1.425802,0.179544,0.343449,0.186019,0.184137,0.064287,0.091456,0.162516,1.271275
132,9.212261,0.405935,5.171337,0.186733,0.122819,0.195570,9.305509,0.117660,0.058068,0.064602,1.428761,0.172634,0.336899,0.184542,0.189631,0.082830,0.087141,0.236289,1.197693
