epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
125,9.284990,0.368297,5.385920,0.193456,0.123851,0.199432,9.032175,0.131764,0.055886,1.426431,0.188314,0.355184,0.201736,0.221008,0.064903,0.161926,1.280903
126,9.240829,0.356952,5.267591,0.191384,0.123634,0.199433,9.349195,0.123628,0.058402,1.442590,0.181482,0.346881,0.201975,0.208271,0.064241,0.215050,1.212773
127,9.303936,0.393337,5.260025,0.192017,0.122107,0.198613,9.439983,0.131453,0.057508,1.421235,0.175241,0.351437,0.204384,0.193637,0.067430,0.137824,1.279545
128,9.402464,0.390010,5.355290,0.193531,0.122431,0.199238,9.403234,0.140091,0.062330,1.394332,0.185630,0.356323,0.203276,0.205103,0.054152,0.152268,1.274556
129,9.323039,0.365723,5.370129,0.193146,0.125238,0.200855,9.191269,0.131815,0.062498,1.437983,0.191921,0.359923,0.205995,0.227645,0.062941,0.151979,1.298487
130,9.242014,0.353937,5.325064,0.192533,0.123779,0.200221,9.121136,0.133179,0.060101,1.427842,0.171568,0.347782,0.203569,0.176863,0.051488,0.202220,1.193484
131,9.327541,0.392207,5.316091,0.191512,0.123874,0.199769,9.370523,0.121313,0.056754,1.417573,0.178194,0.350855,0.204182,0.187225,0.060242,0.147994,1.265020
132,9.363028,0.377530,5.326777,0.192081,0.122665,0.199050,9.453056,0.133391,0.058710,1.421827,0.169451,0.348521,0.203539,0.178831,0.055885,0.207381,1.189734
133,9.237858,0.359826,5.229904,0.190091,0.122225,0.199063,9.457933,0.124371,0.059652,1.432614,0.193871,0.356960,0.205447,0.232945,0.064248,0.147204,1.307927
134,9.169807,0.384291,5.224810,0.190308,0.122322,0.199225,9.170802,0.123815,0.058390,1.413888,0.185599,0.360696,0.205835,0.214730,0.069766,0.174967,1.266577
135,9.299427,0.375845,5.274637,0.190203,0.123437,0.199601,9.452057,0.125269,0.059968,1.428816,0.184056,0.357493,0.207453,0.201524,0.055016,0.125118,1.299947
136,9.288177,0.366634,5.311563,0.191146,0.123915,0.200163,9.310761,0.126368,0.059803,1.439377,0.186044,0.355926,0.204172,0.221164,0.063784,0.132953,1.307739
137,9.347321,0.352748,5.388103,0.192428,0.123676,0.200443,9.273527,0.133824,0.056980,1.451706,0.188349,0.358586,0.204692,0.217282,0.080241,0.193589,1.257112
138,9.222726,0.378610,5.337999,0.191618,0.123469,0.199743,8.952494,0.130468,0.058944,1.429374,0.194365,0.364264,0.208439,0.219165,0.067867,0.096829,1.355869
139,9.190090,0.373903,5.269801,0.190561,0.123493,0.199662,9.100771,0.126269,0.061051,1.435865,0.189473,0.354621,0.205201,0.220811,0.064278,0.081737,1.362471
140,9.147284,0.356599,5.314533,0.191596,0.123220,0.199918,8.856632,0.129199,0.058967,1.449550,0.177513,0.348542,0.203858,0.197814,0.054678,0.194340,1.219739
