epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
98,9.637006,0.854505,4.965712,0.181018,0.119823,0.191119,10.238614,0.088547,0.059644,0.992070,0.178541,0.348885,0.197563,0.218892,0.055354,0.184974,1.239721
99,9.736706,0.968880,4.888730,0.182054,0.119476,0.191071,10.469613,0.082695,0.057692,0.910644,0.178885,0.357743,0.197504,0.205760,0.058315,0.178039,1.243643
100,9.657785,0.900056,4.932858,0.182756,0.118983,0.190641,10.269457,0.086252,0.059317,0.910972,0.172701,0.358830,0.195046,0.190413,0.060778,0.192074,1.216761
101,9.633732,0.875269,4.928529,0.181651,0.119437,0.190517,10.282330,0.086898,0.061534,0.889096,0.173309,0.350421,0.191810,0.200936,0.061986,0.176404,1.236739
102,9.622435,0.908868,4.886804,0.180391,0.118527,0.190008,10.308061,0.082734,0.058106,0.900405,0.174338,0.359422,0.195912,0.194969,0.063746,0.189922,1.224758
103,9.664712,0.926940,4.903966,0.181623,0.119608,0.190919,10.317016,0.083063,0.058617,0.840281,0.170883,0.353902,0.194866,0.187815,0.062348,0.195335,1.210320
104,9.558407,0.853362,4.902639,0.180392,0.119617,0.190326,10.223850,0.081042,0.060124,0.873088,0.172625,0.362767,0.197659,0.177159,0.064167,0.186196,1.219083
105,9.503461,0.787801,4.933941,0.179994,0.120493,0.191415,10.159331,0.080389,0.058256,0.928828,0.171324,0.354652,0.194250,0.183639,0.064628,0.195493,1.209768
106,9.561191,0.834260,4.842442,0.179166,0.118174,0.189838,10.526093,0.078234,0.057554,0.878688,0.178759,0.366006,0.198607,0.194076,0.063415,0.179763,1.240488
107,9.594124,0.863925,4.870015,0.178519,0.120094,0.191881,10.452738,0.074639,0.056637,0.891552,0.175606,0.359764,0.198430,0.185517,0.059144,0.173972,1.235334
108,9.615489,0.876664,4.842022,0.178819,0.119274,0.190916,10.566133,0.075697,0.059276,0.889404,0.170475,0.358580,0.197424,0.176145,0.059144,0.186255,1.212800
109,9.535854,0.830839,4.877939,0.178119,0.119942,0.191215,10.344126,0.074929,0.057430,0.856539,0.174928,0.350697,0.193980,0.203252,0.057603,0.184168,1.229869
110,9.495994,0.807322,4.858934,0.178851,0.118874,0.190608,10.355349,0.074722,0.057032,0.851218,0.178459,0.365756,0.197975,0.194380,0.064768,0.168047,1.252615
111,9.533232,0.827625,4.811259,0.178344,0.118446,0.190350,10.580479,0.072619,0.057669,0.831691,0.176684,0.356843,0.195898,0.202158,0.059055,0.176383,1.241189
112,9.544943,0.846244,4.839840,0.177904,0.120148,0.191371,10.460855,0.070319,0.059304,0.877622,0.171590,0.346129,0.191674,0.186574,0.063392,0.177875,1.226339
113,9.523293,0.838857,4.847603,0.179146,0.118772,0.190408,10.366125,0.073924,0.061654,0.871344,0.177299,0.364681,0.201839,0.195295,0.057440,0.186686,1.229899
114,9.503376,0.788989,4.816604,0.177238,0.118834,0.190795,10.603348,0.070730,0.057216,0.828825,0.177866,0.353938,0.195156,0.204722,0.056653,0.163784,1.254245
